Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 10:17,22661,8018086D0,146606,81BF2C430,1088.39,US Dollar,1088.39,US Dollar,ACH,0
2022/09/01 13:16,336343,80D675B10,336343,80D675B10,11074.08,Canadian Dollar,11074.08,Canadian Dollar,Reinvestment,0
2022/09/01 20:30,218587,808D26B30,218587,808D26B30,784.79,Euro,784.79,Euro,Reinvestment,0
2022/09/06 10:29,1776,8007B2390,1768,8007FA340,35.05,Euro,35.05,Euro,Cheque,0
2022/09/09 01:30,139833,81632BC50,231905,8163371C0,3176.53,US Dollar,3176.53,US Dollar,Cash,0
2022/09/01 00:09,70,10042B6A8,1776,801CC0D30,453.08,Euro,453.08,Euro,Cash,0
2022/09/06 09:10,16,80B4E6C20,32245,80BD29510,202823.88,Ruble,202823.88,Ruble,Cheque,0
2022/09/04 16:34,148698,812304060,250253,812A58400,2650.52,Brazil Real,2650.52,Brazil Real,Credit Card,0
2022/09/09 14:18,24,80C2D1A90,133159,80C39B420,4594.57,UK Pound,4594.57,UK Pound,Cheque,0
2022/09/10 00:24,148894,812311580,248575,81245F9C0,70.27,Brazil Real,70.27,Brazil Real,Credit Card,0
2022/09/01 03:29,27915,819E68B70,27915,819E68B70,8755.7,US Dollar,8755.7,US Dollar,Reinvestment,0
2022/09/08 06:13,224257,8091748C0,23642,8091E8360,257714.65,Rupee,257714.65,Rupee,Cheque,0
2022/09/07 09:14,1639,80217CA80,3533,80308FC40,1313.15,US Dollar,1313.15,US Dollar,Cheque,0
2022/09/08 18:17,119973,80FC2A9C0,4894,8106F7C80,442373.83,US Dollar,442373.83,US Dollar,Cheque,0
2022/09/04 01:38,17768,803717D70,15885,80448DEF0,121.96,Yuan,121.96,Yuan,Wire,0
2022/09/10 05:35,12966,8129BC590,226624,8156A8EC0,363.45,US Dollar,363.45,US Dollar,Credit Card,0
2022/09/09 23:37,317331,80FF499E0,21414,80FF42450,103.3,US Dollar,103.3,US Dollar,Cheque,0
2022/09/02 21:12,5,808B872D0,23486,808E5D690,28225.69,Rupee,28225.69,Rupee,Credit Card,0
2022/09/01 00:01,27436,804D65D60,27436,804D65D60,8.42,Euro,8.42,Euro,Reinvestment,0
2022/09/02 17:59,112568,80A979FD0,22481,80BC17ED0,519880.09,US Dollar,519880.09,US Dollar,ACH,0
2022/09/06 06:56,221024,80B49B160,248265,816BD6980,10.72,US Dollar,10.72,US Dollar,Credit Card,0
2022/09/10 15:06,2,809169940,124359,809684090,22020.57,Rupee,22020.57,Rupee,Credit Card,0
2022/09/07 03:22,18,813BA1CA0,52788,814EFB1E0,1948.52,Swiss Franc,1948.52,Swiss Franc,Credit Card,0
2022/09/01 11:13,210700,804E2F3F0,217798,808A52450,882.55,US Dollar,882.55,US Dollar,Credit Card,0
2022/09/09 13:35,44720,812DB8620,24557,8182EDFD0,302733.7,Euro,302733.7,Euro,Cash,0
2022/09/09 12:30,70,10042BA08,216,8175FBF20,7475.5,Saudi Riyal,7475.5,Saudi Riyal,Cash,0
2022/09/09 02:43,35208,80B210FA0,24455,80B210F50,976.86,Euro,976.86,Euro,ACH,0
2022/09/05 12:53,13354,801622CC0,24633,802604C40,2955.81,US Dollar,2955.81,US Dollar,Wire,0
2022/09/02 21:09,70,10042B6A8,425,800AD4A30,622.24,Euro,622.24,Euro,Cash,0
2022/09/06 09:05,12386,801A8F450,15607,806100450,786.36,Euro,786.36,Euro,ACH,0
2022/09/03 04:22,219054,808324EA0,263025,818528660,18660.08,Saudi Riyal,18660.08,Saudi Riyal,Cheque,0
2022/09/07 05:10,23041,807AA58C0,19561,807AA5CF0,736.0,US Dollar,736.0,US Dollar,ACH,0
2022/09/07 02:21,692,802BC03D0,26922,802C16320,1507.26,Yuan,1507.26,Yuan,Credit Card,0
